,location,variable,value,sample_class,sample,Omicron_frac,Omicron_frac_calibrated,batch
60,11,B.1.617.2,0.9092610143996108,MinION,minION_31520,0.01625,0.010780000000000001,batch2
61,11,BA.1,4.982347250621359e-23,MinION,minION_31520,0.01625,0.010780000000000001,batch2
62,11,B.1.617.2,0.9585855071064532,Aviti,aviti_31519,0.01625,0.010780000000000001,batch2
63,11,BA.1,2.4787812122091424e-15,Aviti,aviti_31519,0.01625,0.010780000000000001,batch2
64,11,B.1.617.2,0.9560913106197388,Illumina,illumina_31581,0.01625,0.010780000000000001,batch3
65,11,BA.1,1.0679584913384445e-13,Illumina,illumina_31581,0.01625,0.010780000000000001,batch3
66,11,B.1.617.2,0.8704443043040762,Flongle,flongle_31585,0.01625,0.010780000000000001,batch3
67,11,BA.1,5.058686179604161e-16,Flongle,flongle_31585,0.01625,0.010780000000000001,batch3
68,11,B.1.617.2,0.929359134722756,MinION,minION_31582,0.01625,0.010780000000000001,batch3
69,11,BA.1,2.324246225784016e-24,MinION,minION_31582,0.01625,0.010780000000000001,batch3
70,11,B.1.617.2,0.9618325594559975,Aviti,aviti_31581,0.01625,0.010780000000000001,batch3
71,11,BA.1,1.1958771962321629e-18,Aviti,aviti_31581,0.01625,0.010780000000000001,batch3
72,12,B.1.617.2,0.9875556816783576,Illumina,illumina_31441,0.0,0.0,batch1
73,12,BA.1,3.519472813609489e-16,Illumina,illumina_31441,0.0,0.0,batch1
74,12,B.1.617.2,0.8034446274527178,Flongle,flongle_31583,0.0,0.0,batch1
75,12,BA.1,5.6224869141661326e-30,Flongle,flongle_31583,0.0,0.0,batch1
76,12,B.1.617.2,0.8805978243568375,MinION,minION_31442,0.0,0.0,batch1
77,12,BA.1,4.246202372102638e-23,MinION,minION_31442,0.0,0.0,batch1
78,12,B.1.617.2,0.987929493437126,Aviti,aviti_31441,0.0,0.0,batch1
79,12,BA.1,3.330907606349826e-16,Aviti,aviti_31441,0.0,0.0,batch1
80,12,B.1.617.2,0.9853054306151692,Illumina,illumina_31519,0.0,0.0,batch2
81,12,BA.1,1.9852699181546838e-17,Illumina,illumina_31519,0.0,0.0,batch2
82,12,B.1.617.2,0.8293686841264012,Flongle,flongle_31584,0.0,0.0,batch2
83,12,BA.1,6.077230222434999e-16,Flongle,flongle_31584,0.0,0.0,batch2
84,12,B.1.617.2,0.8852361582717659,MinION,minION_31520,0.0,0.0,batch2
85,12,BA.1,1.2248558316931482e-35,MinION,minION_31520,0.0,0.0,batch2
86,12,B.1.617.2,0.9845593835874082,Aviti,aviti_31519,0.0,0.0,batch2
87,12,BA.1,5.1076967739164826e-23,Aviti,aviti_31519,0.0,0.0,batch2
88,12,B.1.617.2,0.9472811274889554,Illumina,illumina_31581,0.0,0.0,batch3
89,12,BA.1,9.3584741948876e-17,Illumina,illumina_31581,0.0,0.0,batch3
90,12,B.1.617.2,0.871995236327552,Flongle,flongle_31585,0.0,0.0,batch3
91,12,BA.1,1.6332566067470998e-22,Flongle,flongle_31585,0.0,0.0,batch3
92,12,B.1.617.2,0.9271848592313644,MinION,minION_31582,0.0,0.0,batch3
93,12,BA.1,6.415361085858122e-22,MinION,minION_31582,0.0,0.0,batch3
94,12,B.1.617.2,0.9486714634705712,Aviti,aviti_31581,0.0,0.0,batch3
95,12,BA.1,5.587440880316232e-18,Aviti,aviti_31581,0.0,0.0,batch3
96,2,B.1.617.2,0.2412377871969652,Illumina,illumina_31441,0.9159999999999999,0.88324,batch1
97,2,BA.1,0.7416515376510289,Illumina,illumina_31441,0.9159999999999999,0.88324,batch1
98,2,B.1.617.2,0.1315580346208315,Flongle,flongle_31583,0.9159999999999999,0.88324,batch1
99,2,BA.1,0.6014437136564562,Flongle,flongle_31583,0.9159999999999999,0.88324,batch1
100,2,B.1.617.2,0.1166559238816557,MinION,minION_31442,0.9159999999999999,0.88324,batch1
